Order,Family,Subfamily,Genus,Type Species?,Species,Exemplar Accession Number,Exemplar Isolate,Genome Composition,Last Change,MSL of Last Changed,Proposal,Taxon History URL
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,0,Campylobacter phage CP21,HE815464,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140119
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,1,Campylobacter phage CP220,FN667788,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140116
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,0,Campylobacter phage CPt10,FN667789,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140117
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,0,Campylobacter phage IBB35,HM246720,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140118
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,1,Campylobacter phage CP81,FR823450,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140121
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,0,Campylobacter phage CPX,JN132397,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140122
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,0,Campylobacter phage NCTC12673,GU296433,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140123
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,0,Aeromonas phage phiO18P,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140005
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,1,Haemophilus phage HP1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140006
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,0,Haemophilus phage HP2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140007
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,0,Pasteurella phage F108,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140008
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,0,Vibrio phage K139,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140009
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,0,Vibrio phage Kappa,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140010
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Burkholderia phage phi52237,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140012
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Burkholderia phage phiE202,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140013
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Burkholderia phage phiE12-2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140014
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Enterobacteria phage 186,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140015
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,1,Enterobacteria phage P2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140016
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Enterobacteria phage PsP3,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140017
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Enterobacteria phage Wphi,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140018
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Mannheimia phage phiMhaA1-PHL101,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140019
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Pseudomonas phage phiCTX,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140020
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Ralstonia phage RSA1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140021
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Salmonella Fels-2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140022
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Salmonella SopEphi,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140023
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,0,Yersinia phage L-413C,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140024
Caudovirales,Myoviridae,Spounavirinae,Spounalikevirus,1,Bacillus phage SPO1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140027
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,0,Listeria phage A511,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140029
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,0,Listeria phage P100,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140030
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,0,Staphylococcus phage G1,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140031
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,0,Staphylococcus phage K,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140032
Caudovirales,Myoviridae,Spounavirinae,Twortlikevirus,1,Staphylococcus phage Twort,,,dsDNA,"New,Assigned as Type Species,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140033
Caudovirales,Myoviridae,Spounavirinae,Unassigned,0,Enterococcus phage phiEC24C,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140035
Caudovirales,Myoviridae,Spounavirinae,Unassigned,0,Lactobacillus phage LP65,,,dsDNA,"New,",26,2009.009a-pB.A.v3.Spounavirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140036
Caudovirales,Myoviridae,Tevenvirinae,Schizot4likevirus,1,Vibrio phage KVP40,,,dsDNA,"New,Assigned as Type Species,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140039
Caudovirales,Myoviridae,Tevenvirinae,Schizot4likevirus,0,Vibrio phage nt-1,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140040
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Aeromonas phage 25,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140042
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Aeromonas phage 31,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140043
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Aeromonas phage 44RR2.8t,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140044
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Enterobacteria phage SV14,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140045
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,1,Enterobacteria phage T4,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140046
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage JS98,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140047
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage phi1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140048
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB14,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140049
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB16,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140050
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB32,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140051
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB43,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140052
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB49,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140053
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Escherichia phage RB69,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140054
Caudovirales,Myoviridae,Tevenvirinae,T4likevirus,0,Pseudomonas phage 42,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140055
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,0,Acinetobacter phage 133,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140057
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,0,Aeromonas phage 65,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140058
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,0,Aeromonas phage Aeh1,,,dsDNA,"Moved,",26,2009.007a-rB.A.v3.Tevenvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140059
Caudovirales,Myoviridae,,Bcep78likevirus,0,Burkholderia phage Bcep1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140062
Caudovirales,Myoviridae,,Bcep78likevirus,0,Burkholderia phage Bcep43,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140063
Caudovirales,Myoviridae,,Bcep78likevirus,1,Burkholderia phage Bcep781,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140064
Caudovirales,Myoviridae,,Bcep78likevirus,0,Burkholderia phage BcepNY3,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140065
Caudovirales,Myoviridae,,Bcep78likevirus,0,Xanthomonas phage OP2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140066
Caudovirales,Myoviridae,,Bcepmulikevirus,1,Burkholderia phage BcepMu,,,dsDNA,"New,Assigned as Type Species,",26,2009.003a-gB.A.v2.Bcepmulikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140068
Caudovirales,Myoviridae,,Bcepmulikevirus,0,Burkholderia phage phiE255,,,dsDNA,"New,",26,2009.003a-gB.A.v2.Bcepmulikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140069
Caudovirales,Myoviridae,,Felixounalikevirus,0,Erwinia phage phiEa21-4,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140071
Caudovirales,Myoviridae,,Felixounalikevirus,0,Escherichia phage wV8,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140072
Caudovirales,Myoviridae,,Felixounalikevirus,1,Salmonella phage FelixO1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140073
Caudovirales,Myoviridae,,Hapunalikevirus,1,Halomonas phage phiHAP-1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140075
Caudovirales,Myoviridae,,Hapunalikevirus,0,Vibrio phage VP882,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140076
Caudovirales,Myoviridae,,I3likevirus,1,Mycobacterium phage I3,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140078
Caudovirales,Myoviridae,,Mulikevirus,1,Enterobacteria phage Mu,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140080
Caudovirales,Myoviridae,,Pbunalikevirus,0,Burkholderia phage BcepF1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140082
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage 14-1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140083
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage F8,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140084
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage LBL3,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140085
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage LMA2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140086
Caudovirales,Myoviridae,,Pbunalikevirus,1,Pseudomonas phage PB1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140087
Caudovirales,Myoviridae,,Pbunalikevirus,0,Pseudomonas phage SN,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140088
Caudovirales,Myoviridae,,Phicd119likevirus,0,Clostridium phage phiC2,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140090
Caudovirales,Myoviridae,,Phicd119likevirus,0,Clostridium phage phiCD27,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140091
Caudovirales,Myoviridae,,Phicd119likevirus,1,Clostridium phage phiCD119,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140092
Caudovirales,Myoviridae,,Phihlikevirus,1,Halobacterium phage phiH,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140094
Caudovirales,Myoviridae,,Phikzlikevirus,0,Pseudomonas phage EL,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140096
Caudovirales,Myoviridae,,Phikzlikevirus,0,Pseudomonas phage Lin68,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140097
Caudovirales,Myoviridae,,Phikzlikevirus,1,Pseudomonas phage phiKZ,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140098
Caudovirales,Myoviridae,,Punalikevirus,0,Aeromonas phage 43,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140100
Caudovirales,Myoviridae,,Punalikevirus,1,Enterobacteria phage P1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140101
Caudovirales,Myoviridae,,Unassigned,0,Bacillus phage G,,,dsDNA,"New,",25,"2009.010a,bB.v1.Myoviridae_phageG",http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140103
Caudovirales,Myoviridae,,Unassigned,0,Bacillus phage PBS1,,,dsDNA,"New,",25,2009.011abB.v2.Myoviridae_phagePBS1,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140104
Caudovirales,Myoviridae,,Unassigned,0,Microcystis aeruginosa phage Ma-LMM01,,,dsDNA,"New,",25,"2009.008a,bB.v1.Myoviridae-Sp",http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140105
Caudovirales,Myoviridae,,Viunalikevirus,0,Dickeya phage Limestone,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140107
Caudovirales,Myoviridae,,Viunalikevirus,0,Escherichia phage Cba120,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140108
Caudovirales,Myoviridae,,Viunalikevirus,0,Escherichia phage PhaxI,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140109
